Airport List,,,,,,,,
,,,,,,,,
Airport,,Hub,Airport Category,City,State,Airport Hub Division,Area,Airport Federalized Flag
GLH,Greenville Mid-Delta,JAN,IV,Greenville,MS,Southeast,Surface Region 2,Y
GTR,Golden Triangle Regional,JAN,III,Columbus,MS,Southeast,Surface Region 2,Y
MEI,Key Field,JAN,IV,Meridian,MS,Southeast,Surface Region 2,Y
PIB,Hattiesburg/Laurel Regional,JAN,IV,Moselle,MS,Southeast,Surface Region 2,Y
MAF,Midland International Air And Space Port,AUS,II,Midland,TX,Western,Surface Region 4,Y
TUP,Tupelo Regional,JAN,IV,Tupelo,MS,Southeast,Surface Region 2,Y
SWF,New York Stewart International,JFK,III,New  Windor,NY,Northeast,Surface Region 1,Y
EKO,Elko Regional,LAS,IV,Elko,NV,Western,Surface Region 5,Y
MCI,Kansas City International,STL,I,Kansas City,MO,Central,Surface Region 3,Y
SBD,San Bernardino International,LAX,III,San Bernardino,CA,Western,Surface Region 5,Y
ELD,South Arkansas Regional at Goodwin Field,LIT,IV,El Dorado,AR,Southeast,Surface Region 4,Y
MCO,Orlando International,MCO,X,Orlando,FL,Southeast,Surface Region 2,Y
FSM,Fort Smith Regional,LIT,III,Ft Smith,AR,Southeast,Surface Region 4,Y
MDT,Harrisburg International,PHL,II,Middletown,PA,Northeast,Surface Region 2,Y
MDW,Chicago Midway International,ORD,I,Chicago,IL,Central,Surface Region 3,Y
TXK,Texarkana Regional-Webb Field,LIT,III,Texarkana,AR,Southeast,Surface Region 4,Y
MEM,Memphis International,BNA,I,Memphis,TN,Southeast,Surface Region 2,Y
MFE,Mc Allen Miller International,SAT,II,McAllen,TX,Western,Surface Region 4,Y
MFR,Rogue Valley International - Medford,PDX,II,Medford,OR,Western,Surface Region 5,Y
FPR,Treasure Coast International,MCO,III,Ft. Pierce,FL,Southeast,Surface Region 2,Y
SGJ,Northeast Florida Regional,MCO,III,St. Augustine,FL,Southeast,Surface Region 2,N
VRB,Vero Beach Regional,MCO,III,Vero Beach,FL,Southeast,Surface Region 2,Y
MHT,Manchester Boston Regional,MHT,II,Manchester,NH,Northeast,Surface Region 1,Y
MIA,Miami International,MIA,X,Miami,FL,Southeast,Surface Region 2,Y
MKE,General Mitchell International,MKE,I,Milwaukee,WI,Central,Surface Region 3,Y
LEB,Lebanon Municipal,MHT,IV,West Lebanon,NH,Northeast,Surface Region 1,Y
PSM,Portsmouth International at Pease,MHT,III,Portsmouth,NH,Northeast,Surface Region 1,Y
CWA,Central Wisconsin,MKE,III,Mosinee,WI,Central,Surface Region 3,Y
MLB,Melbourne Orlando International,MCO,II,Melbourne,FL,Southeast,Surface Region 2,Y
MLI,Quad Cities International,ORD,II,Moline,IL,Central,Surface Region 3,Y
EAU,Chippewa Valley Regional,MKE,III,Eau Claire,WI,Central,Surface Region 3,Y
LSE,La Crosse Regional,MKE,III,La Crosse,WI,Central,Surface Region 3,Y
MOB,Mobile Regional,BHM,II,Mobile,AL,Southeast,Surface Region 2,Y
RHI,Rhinelander/Oneida County,MKE,III,Rhinelander,WI,Central,Surface Region 3,Y
MRY,Monterey Regional,SFO,II,Monterey,CA,Western,Surface Region 5,Y
BJI,Bemidji Regional,MSP,IV,Bemidji,MN,Central,Surface Region 3,Y
MSN,Dane County Regional/Truax Field,MKE,II,Madison,WI,Central,Surface Region 3,Y
MSO,Missoula Montana,BIL,II,Missoula,MT,Central,Surface Region 4,Y
